p,q,n,h,Epoch,L2 error,L1 error,Linf error,L2 relative,L1 relative,Linf relative,Loss
 2, 3, 1,1.0, 5000,4.118991e-02,3.339840e-02,8.198099e-02,1.191738e-01,1.210920e-01,1.076473e-01,5.810582e-15
 2, 3, 1,1.0,10000,4.118634e-02,3.339567e-02,8.184649e-02,1.191635e-01,1.210821e-01,1.074707e-01,5.316383e-14
 2, 3, 1,1.0, 5000,4.119530e-02,3.340896e-02,8.301513e-02,1.191894e-01,1.211303e-01,1.090052e-01,1.952843e-11
 2, 3, 1,1.0,10000,4.118163e-02,3.339241e-02,8.199381e-02,1.191498e-01,1.210703e-01,1.076641e-01,9.072687e-10
 2, 3, 1,1.0, 5000,4.117279e-02,3.338520e-02,8.191507e-02,1.191243e-01,1.210442e-01,1.075607e-01,7.973812e-15
 2, 3, 1,1.0,10000,4.117876e-02,3.338982e-02,8.178844e-02,1.191415e-01,1.210609e-01,1.073945e-01,2.953987e-12
 2, 3, 1,1.0, 5000,4.119708e-02,3.340357e-02,8.214177e-02,1.191945e-01,1.211108e-01,1.078584e-01,1.865113e-07
 2, 3, 1,1.0,10000,4.118389e-02,3.339379e-02,8.178784e-02,1.191564e-01,1.210753e-01,1.073937e-01,2.185145e-14
 2, 3, 1,1.0, 5000,4.118512e-02,3.339476e-02,8.181824e-02,1.191599e-01,1.210788e-01,1.074336e-01,5.930625e-14
 2, 3, 1,1.0,10000,4.118350e-02,3.339347e-02,8.180554e-02,1.191553e-01,1.210742e-01,1.074169e-01,3.036487e-14
 2, 3, 1,1.0, 5000,4.117926e-02,3.339022e-02,8.179711e-02,1.191430e-01,1.210624e-01,1.074058e-01,5.111732e-15
 2, 3, 1,1.0,10000,4.118156e-02,3.339199e-02,8.173840e-02,1.191496e-01,1.210688e-01,1.073287e-01,1.263946e-14
 2, 3, 1,1.0, 5000,4.118589e-02,3.339500e-02,8.198070e-02,1.191622e-01,1.210797e-01,1.076469e-01,2.119936e-10
 2, 3, 1,1.0,10000,4.118265e-02,3.339283e-02,8.175437e-02,1.191528e-01,1.210718e-01,1.073497e-01,6.915587e-16
 2, 3, 1,1.0, 5000,4.118959e-02,3.339823e-02,8.187078e-02,1.191729e-01,1.210914e-01,1.075026e-01,3.022898e-14
 2, 3, 1,1.0,10000,4.118496e-02,3.339462e-02,8.178847e-02,1.191595e-01,1.210783e-01,1.073945e-01,6.764407e-15
 2, 3, 1,1.0, 5000,4.118547e-02,3.339497e-02,8.181526e-02,1.191609e-01,1.210796e-01,1.074297e-01,4.686274e-15
 2, 3, 1,1.0,10000,4.118201e-02,3.339234e-02,8.174132e-02,1.191510e-01,1.210701e-01,1.073326e-01,4.138902e-16
 2, 3, 1,1.0, 5000,4.116964e-02,3.338313e-02,8.204161e-02,1.191151e-01,1.210366e-01,1.077269e-01,1.350770e-13
 2, 3, 1,1.0,10000,4.118111e-02,3.339164e-02,8.176251e-02,1.191483e-01,1.210675e-01,1.073604e-01,9.946820e-13
 2, 3, 2,0.5, 5000,8.987167e-01,6.635968e-01,2.374280e+00,2.600236e+00,2.405992e+00,3.117610e+00,2.114855e-05
 2, 3, 2,0.5,10000,7.762197e-01,5.868587e-01,2.165695e+00,2.245818e+00,2.127764e+00,2.843723e+00,2.109798e-08
 2, 3, 2,0.5, 5000,3.216754e-01,2.477596e-01,9.757333e-01,9.306958e-01,8.982978e-01,1.281212e+00,1.275127e-06
 2, 3, 2,0.5,10000,2.990097e-01,2.331196e-01,7.947825e-01,8.651177e-01,8.452179e-01,1.043610e+00,8.331701e-05
 2, 3, 2,0.5, 5000,3.972138e-01,3.051385e-01,1.090843e+00,1.149249e+00,1.106335e+00,1.432360e+00,4.555577e-05
 2, 3, 2,0.5,10000,3.495077e-01,2.682448e-01,1.033812e+00,1.011222e+00,9.725708e-01,1.357474e+00,1.223380e-03
 2, 3, 2,0.5, 5000,6.970506e-01,5.216505e-01,2.434780e+00,2.016760e+00,1.891339e+00,3.197051e+00,2.331163e-11
 2, 3, 2,0.5,10000,6.062197e-01,4.652388e-01,2.118440e+00,1.753961e+00,1.686809e+00,2.781673e+00,1.313438e-11
